time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-27T20:13:12.786Z,56.4451,-156.7501,2.1,3.5,ml,,,,0.63,ak,ak021glczrrd,2022-03-05T23:10:46.040Z,"103 km E of Chignik, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-27T18:56:28.179Z,54.8927,-160.823,37,2,ml,,,,0.31,ak,ak021glc25fl,2022-01-24T23:25:42.788Z,"53 km SSW of Sand Point, Alaska",earthquake,,2,,,reviewed,ak,ak
2021-12-27T18:04:14.462Z,55.1362,-160.0981,16.16,2.9,ml,,127,0.304,0.61,us,us7000geqd,2022-03-05T23:11:15.040Z,"33 km SE of Sand Point, Alaska",earthquake,2.9,3.1,0.074,24,reviewed,us,us
2021-12-27T17:48:37.718Z,54.514,-159.7087,24.9,2.4,ml,,,,0.68,ak,ak021glbf0u3,2022-01-24T23:25:41.764Z,"104 km SSE of Sand Point, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2021-12-27T16:24:13.214Z,58.2671,-156.236,188.36,2.6,ml,,251,0.483,0.28,us,us6000gfmy,2022-03-05T23:10:45.040Z,"Alaska Peninsula",earthquake,13.2,6.8,0.06,36,reviewed,us,us
2021-12-27T15:33:45.505Z,61.5625,-148.0376,21.9,2.1,ml,,,,0.63,ak,ak021gla4ydi,2022-01-24T23:25:28.090Z,"34 km SW of Glacier View, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-27T11:19:13.288Z,51.6828,178.4953,81.63,3,ml,,172,0.253,0.15,us,us7000geqi,2022-03-05T23:11:15.040Z,"",earthquake,5.1,5,0.105,12,reviewed,us,us
2021-12-27T08:00:05.175Z,61.3476,-146.8395,10.4,3.3,ml,,,,0.62,ak,ak021gl5rrfd,2022-03-05T23:10:44.040Z,"35 km NW of Valdez, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-27T07:03:23.783Z,55.9252,-153.4762,42.5,3.7,ml,,,,0.62,ak,ak021gl5709g,2022-03-05T23:10:44.040Z,"121 km SSE of Akhiok, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2021-12-27T03:37:49.062Z,60.7579,-147.5748,8.9,2.6,ml,,,,0.59,ak,ak021gl30mby,2022-03-05T23:10:44.040Z,"50 km WSW of Tatitlek, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-12-27T03:33:37.785Z,60.4711,-150.8318,48,2.1,ml,,,,0.43,ak,ak021gl2zqlr,2022-01-24T23:25:21.927Z,"5 km SW of Funny River, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2021-12-27T02:05:46.267Z,54.1333,-164.5081,49.83,2.6,ml,,196,0.342,0.32,us,us7000geqc,2022-03-05T23:11:15.040Z,"82 km E of Akutan, Alaska",earthquake,9.9,28.9,0.105,12,reviewed,us,us
2021-12-27T01:11:36.844Z,58.9406,-154.4935,123.1,2.3,ml,,,,0.44,ak,ak021gl1o5kf,2022-03-05T23:10:44.040Z,"57 km SSE of Kokhanok, Alaska",earthquake,,0.3,,,reviewed,ak,ak
