time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-10T02:39:47.050Z,40.2195,-121.1318333,5.72,2.82,md,40,57,0.03002,0.17,nc,nc73662016,2022-02-24T20:59:32.040Z,"2km ENE of Prattville, CA",earthquake,0.29,0.42,0.15,57,reviewed,nc,nc
2021-12-10T01:49:39.420Z,40.2165,-121.1355,5.3,2.49,md,29,51,0.03207,0.18,nc,nc73661991,2022-02-24T20:59:31.040Z,"2km ENE of Prattville, CA",earthquake,0.31,0.72,0.138,27,reviewed,nc,nc
2021-12-09T14:55:51.400Z,37.6125,-118.8203333,3.72,2,md,22,73,0.02162,0.03,nc,nc73661791,2021-12-09T19:17:11.295Z,"14km WNW of Toms Place, CA",earthquake,0.24,0.32,0.165,22,reviewed,nc,nc
2021-12-09T06:38:13.660Z,34.3185,-119.4526667,7.25,3.49,ml,71,81,0.096,0.3,ci,ci39883351,2022-05-23T16:17:39.952Z,"11km SE of Carpinteria, CA",earthquake,0.3,0.96,0.137,159,reviewed,ci,ci
2021-12-09T06:25:59.400Z,34.3195,-119.4443333,4.99,2.2,ml,42,81,0.0982,0.24,ci,ci39883335,2021-12-09T17:54:02.121Z,"11km SE of Carpinteria, CA",earthquake,0.33,0.72,0.095,48,reviewed,ci,ci
2021-12-09T01:04:52.450Z,35.7736667,-121.2941667,4.9,2.61,md,59,174,0.2017,0.06,nc,nc73661561,2022-02-12T23:07:05.040Z,"17km NNW of San Simeon, CA",earthquake,0.24,0.84,0.148,62,reviewed,nc,nc
2021-12-08T20:49:59.670Z,36.4978333,-120.6135,9.24,2.73,md,55,71,,0.16,nc,nc73661466,2022-02-12T23:07:00.040Z,"10km NNE of New Idria, CA",earthquake,0.29,0.79,0.192,94,reviewed,nc,nc
2021-12-08T17:21:50.000Z,37.9848333,-122.0516667,15.57,2.21,md,73,42,0.01623,0.13,nc,nc73661396,2021-12-14T21:45:10.182Z,"2km E of Pacheco, CA",earthquake,0.2,0.23,0.117,65,reviewed,nc,nc
2021-12-07T19:59:00.620Z,39.6,-121.5708333,-0.13,2.02,md,9,156,0.06292,0.03,nc,nc73660996,2021-12-09T06:19:11.760Z,"10km N of Oroville, CA",quarry blast,0.5,31.61,0.127,9,reviewed,nc,nc
2021-12-07T09:30:20.017Z,38.1425,-117.9697,10.9,2.5,ml,30,76.26,0.009,0.1532,nn,nn00829495,2022-02-12T23:06:22.040Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.29,15,reviewed,nn,nn
2021-12-07T09:02:18.921Z,38.1416,-117.9714,10.8,2.2,ml,28,70.42,0.01,0.1571,nn,nn00829491,2021-12-07T18:31:49.317Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.23,14,reviewed,nn,nn
2021-12-07T08:30:25.513Z,38.1369,-117.9732,11.1,2.2,ml,25,76.67,0.011,0.1372,nn,nn00829484,2021-12-07T18:16:11.146Z,"30 km SSE of Mina, Nevada",earthquake,,0.7,0.3,13,reviewed,nn,nn
2021-12-07T06:29:11.510Z,38.5151667,-119.531,4.32,2.61,md,23,69,0.02825,0.07,nc,nc73660671,2022-02-12T23:06:19.040Z,"4km W of Walker, CA",earthquake,0.21,0.28,0.16,61,reviewed,nc,nc
2021-12-06T12:46:01.440Z,37.0888333,-119.7933333,11.34,2.11,md,14,94,0.3106,0.08,nc,nc73660416,2022-05-27T20:01:44.771Z,"12km S of Yosemite Lakes, CA",earthquake,0.24,0.59,0.227,46,reviewed,nc,nc
2021-12-05T12:30:10.060Z,38.15,-117.899,11.2,2.7,ml,22,67.06,0.023,0.1177,nn,nn00829388,2022-02-12T23:06:03.040Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.54,9,reviewed,nn,nn
2021-12-05T10:56:24.403Z,38.1635,-118.2282,7.4,3,ml,32,60.77,0.139,0.1479,nn,nn00829381,2022-02-12T23:06:01.040Z,"27 km SSW of Mina, Nevada",earthquake,,2.6,0.33,16,reviewed,nn,nn
2021-12-05T09:08:38.090Z,38.8,-122.7728333,0.52,2.17,md,67,44,0.01027,0.07,nc,nc73659986,2021-12-11T09:45:09.882Z,"3km NNW of The Geysers, CA",earthquake,0.11,0.17,0.132,33,reviewed,nc,nc
2021-12-05T09:07:54.810Z,38.7846667,-122.7681667,1.21,2.48,md,81,58,0.01405,0.06,nc,nc73659976,2022-02-12T23:06:00.040Z,"1km NW of The Geysers, CA",earthquake,0.11,0.17,0.123,49,reviewed,nc,nc
2021-12-05T02:08:28.730Z,37.7623333,-122.1575,2.84,2.52,md,95,28,0.02419,0.11,nc,nc73659836,2022-02-12T23:05:57.040Z,"4km N of San Leandro, CA",earthquake,0.1,0.29,0.127,75,reviewed,nc,nc
2021-12-04T15:54:11.300Z,37.6121667,-118.8188333,3.78,2,md,21,73,0.0226,0.03,nc,nc73659606,2021-12-05T19:40:10.809Z,"14km WNW of Toms Place, CA",earthquake,0.27,0.36,0.052,18,reviewed,nc,nc
2021-12-04T13:22:38.980Z,38.546,-119.5206667,6.17,2.11,md,18,67,0.03988,0.06,nc,nc73659556,2021-12-08T22:52:10.812Z,"5km NW of Walker, CA",earthquake,0.2,0.29,0.224,31,reviewed,nc,nc
2021-12-04T00:46:01.650Z,34.2278333,-117.9345,6.66,2.19,ml,82,28,0.09749,0.17,ci,ci39878119,2021-12-04T01:13:05.830Z,"10km NNE of Bradbury, CA",earthquake,0.12,0.43,0.204,22,reviewed,ci,ci
2021-12-03T23:15:54.960Z,38.519,-119.505,6.42,2.08,md,18,64,0.01388,0.06,nc,nc73659366,2021-12-08T19:23:15.237Z,"2km WNW of Walker, CA",earthquake,0.22,0.25,0.305,26,reviewed,nc,nc
2021-12-03T21:18:28.330Z,37.0186667,-119.8173333,-0.39,2.1,md,9,202,0.09097,0.05,nc,nc73659336,2022-05-27T19:25:09.754Z,"6km NE of Bonadelle Ranchos-Madera Ranchos, CA",quarry blast,0.86,31.61,0.185,31,reviewed,nc,nc
2021-12-03T14:03:36.830Z,36.5985,-121.206,6.59,2.3,md,62,66,0.03147,0.13,nc,nc73659211,2021-12-10T22:00:10.738Z,"9km NW of Pinnacles, CA",earthquake,0.18,0.38,0.155,70,reviewed,nc,nc
2021-12-03T03:59:40.342Z,37.8774,-118.0747,2.3,2.1,ml,18,106.56,0.201,0.1711,nn,nn00829247,2021-12-03T21:14:10.094Z,"23 km N of Dyer, Nevada",earthquake,,2.8,0.33,9,reviewed,nn,nn
2021-12-02T18:34:35.400Z,36.894,-121.6136667,-0.14,2.46,md,26,66,0.04027,0.09,nc,nc73658931,2022-01-07T14:55:37.040Z,"3km ENE of Aromas, CA",quarry blast,0.2,31.61,0.157,6,reviewed,nc,nc
2021-12-02T16:32:13.906Z,38.1945,-117.8852,7.9,2.2,ml,22,82.39,0.034,0.121,nn,nn00829217,2021-12-03T02:38:20.897Z,"29 km SE of Mina, Nevada",earthquake,,0.7,0.44,11,reviewed,nn,nn
2021-12-02T00:27:44.310Z,36.702,-121.3383333,4.08,2.27,md,45,62,0.06379,0.11,nc,nc73658581,2021-12-09T21:57:10.339Z,"10km S of Tres Pinos, CA",earthquake,0.19,0.84,0.176,58,reviewed,nc,nc
2021-12-01T05:16:30.380Z,38.788,-122.7605,1.55,2.36,md,75,56,0.01262,0.05,nc,nc73658341,2021-12-09T23:46:10.684Z,"1km NNW of The Geysers, CA",earthquake,0.11,0.2,0.153,52,reviewed,nc,nc
2021-12-01T03:30:13.330Z,38.7921667,-122.7263333,2.1,2.53,md,78,41,0.007715,0.07,nc,nc73658306,2022-02-05T23:03:37.040Z,"3km ENE of The Geysers, CA",earthquake,0.11,0.17,0.139,49,reviewed,nc,nc
2021-11-30T16:07:02.370Z,37.1641667,-121.5598333,2.34,2.7,md,73,37,0.05322,0.1,nc,nc73660155,2022-04-24T13:01:18.221Z,"9km ENE of Morgan Hill, CA",earthquake,0.14,0.4,0.142,88,reviewed,nc,nc
2021-11-30T10:11:11.900Z,36.0453333,-117.8713333,3.49,2.78,ml,36,34,0.04057,0.12,ci,ci39874375,2022-08-06T18:30:42.427Z,"7km E of Coso Junction, CA",earthquake,0.14,0.33,0.205,25,reviewed,ci,ci
2021-11-30T07:58:34.900Z,36.2281667,-121.7683333,3.69,2.12,md,40,192,0.0009803,0.11,nc,nc73659950,2021-12-01T11:26:11.204Z,"14km SE of Point Sur, CA",earthquake,0.41,0.24,0.195,44,reviewed,nc,nc
2021-11-30T03:30:27.380Z,37.9098333,-122.2888333,4.88,2.5,md,102,21,0.01465,0.09,nc,nc73659805,2022-10-31T23:14:07.255Z,"1km W of Kensington, CA",earthquake,0.11,0.15,0.123,81,reviewed,nc,nc
2021-11-30T02:21:37.140Z,37.5735,-118.6291667,12.76,2.74,md,28,62,0.0983,0.08,nc,nc73659755,2022-02-05T23:03:28.040Z,"5km ENE of Toms Place, CA",earthquake,0.38,0.72,0.162,48,reviewed,nc,nc
2021-11-29T07:27:27.390Z,38.4946667,-119.5465,1.42,2.22,md,16,74,0.04096,0.06,nc,nc73659425,2021-12-08T03:34:11.048Z,"6km WSW of Walker, CA",earthquake,0.24,0.58,0.249,31,reviewed,nc,nc
